Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
MHK,AMW,"Manhattan, KS","Ames, IA",21,30,1,254,10/1/2008,122049,86219,39.14099884,-96.67079926,NA,NA
EUG,RDM,"Eugene, OR","Bend, OR",41,396,22,103,11/1/1990,284093,76034,44.12459946,-123.211998,44.2541008,-121.1500015
EUG,RDM,"Eugene, OR","Bend, OR",88,342,19,103,12/1/1990,284093,76034,44.12459946,-123.211998,44.2541008,-121.1500015
EUG,RDM,"Eugene, OR","Bend, OR",11,72,4,103,10/1/1990,284093,76034,44.12459946,-123.211998,44.2541008,-121.1500015
MFR,RDM,"Medford, OR","Bend, OR",0,18,1,156,2/1/1990,147300,76034,42.37419891,-122.8730011,44.2541008,-121.1500015
MFR,RDM,"Medford, OR","Bend, OR",11,18,1,156,3/1/1990,147300,76034,42.37419891,-122.8730011,44.2541008,-121.1500015
MFR,RDM,"Medford, OR","Bend, OR",2,72,4,156,1/1/1990,147300,76034,42.37419891,-122.8730011,44.2541008,-121.1500015
MFR,RDM,"Medford, OR","Bend, OR",7,18,1,156,9/1/1990,147300,76034,42.37419891,-122.8730011,44.2541008,-121.1500015
MFR,RDM,"Medford, OR","Bend, OR",7,36,2,156,11/1/1990,147300,76034,42.37419891,-122.8730011,44.2541008,-121.1500015
SEA,RDM,"Seattle, WA","Bend, OR",8,18,1,228,2/1/1990,5154164,76034,47.44900131,-122.3089981,44.2541008,-121.1500015
SEA,RDM,"Seattle, WA","Bend, OR",453,3128,23,228,1/1/1990,5154164,76034,47.44900131,-122.3089981,44.2541008,-121.1500015
SEA,RDM,"Seattle, WA","Bend, OR",784,2720,20,228,2/1/1990,5154164,76034,47.44900131,-122.3089981,44.2541008,-121.1500015
SEA,RDM,"Seattle, WA","Bend, OR",749,2992,22,228,3/1/1990,5154164,76034,47.44900131,-122.3089981,44.2541008,-121.1500015
SEA,RDM,"Seattle, WA","Bend, OR",11,18,1,228,4/1/1990,5154164,76034,47.44900131,-122.3089981,44.2541008,-121.1500015
PDX,RDM,"Portland, OR","Bend, OR",349,851,23,116,1/1/1990,1534762,76034,45.58869934,-122.5979996,44.2541008,-121.1500015
